manufacturer,model,type,max_capacity_ton,max_boom_ft,max_jib_ft,pdf_url
Grove,RT9150E,Rough Terrain,150,197,59,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT9150E-Product-Guide.pdf
Grove,RT9130E,Rough Terrain,130,160,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT9130E_Product_Guide_2.pdf
Grove,RT9100,Rough Terrain,100,114,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT9100A.pdf
Grove,GRT8100,Rough Terrain,100,154,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/GRT8100_Product_Guide_imperial_branded.pdf
Grove,RT890E,Rough Terrain,90,142,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove_RT890E-Product_Guide.pdf
Grove,RT890,Rough Terrain,90,142,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT890_Specifications.pdf
Grove,RT990,Rough Terrain,90,122,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT990.pdf
Grove,RT980,Rough Terrain,80,146,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT980_SC.pdf
Grove,RT880E,Rough Terrain,80,128,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT880E-Prdouct-Guide-imperial.pdf
Grove,RT880,Rough Terrain,80,114,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT880_NA_Brochure.pdf
Grove,RT875E,Rough Terrain,75,125,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/RT875E.pdf
Grove,RT875BXL,Rough Terrain,75,138,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/RT875BXL.pdf
Grove,RT875,Rough Terrain,75,128,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/RT875.pdf
Grove,RT870,Rough Terrain,70,125,,https://www.reliablecraneservice.com/application/views/themes/theme-1/assets/pdf/crane_charts/Grove-RT870.pdf
